interno_ime,smucisce,drzava,nadmorska_visina,km_prog,karta,valuta
burglift-stans,Burglift Stans,AT,560 - 800,1,n/a,n/a
bezovec,Bezovec,SK,600 - 750,3.1,"16,00",€
bublava-stribrna,Bublava - Stříbrná,CZ,610 - 802,5,n/a,n/a
selce-cachovo,Selce-Čachovo,SK,470 - 650,2.3,n/a,n/a
barmsee-kruen,Barmsee / Krün,DE,900 - 950,0.7,n/a,n/a
kaniowka,Kaniówka,PL,780 - 870,1.3,n/a,n/a
tabarz-inselberg,Inselsberg / Bad Tabarz,DE,720 - 900,2.1,"30,00",€
ski-areal-severak,Severák / Jizerky,CZ,730 - 795,4.2,n/a,n/a
altenfeld,Altenfeld,DE,650 - 710,0.3,n/a,n/a
alpin-lift-hausen-an-der-lauchert,Alpin-Lift / Hausen an der Lauchert,DE,700 - 850,1.5,n/a,n/a
cerny-dul,Černý Důl / Černá hora - Pec,CZ,580 - 885,6.5,n/a,n/a
boehmenkirch-treffelhausen,Treffelhausen / Böhmenkirch,DE,650 - 707,1,n/a,n/a
kosutka-hrinova,Košútka - Hriňová,SK,503 - 723,2.6,n/a,n/a
am-gruendelwald,am Gründelwald / Jöhstadt,DE,670 - 780,1.3,n/a,n/a
ryterski-raj,Ryterski Raj,PL,408 - 628,0,n/a,n/a
silbersattel,Skiarena Silbersattel,DE,590 - 840,4.5,"28,00",€
cesky-jiretin,Český Jiřetín,CZ,630 - 800,2.3,n/a,n/a
skilift-markt-hartmannsdorf,Hartmannsdorfer Skipiste,AT,346 - 405,0.6,"8,00",€
hartmanice,Hartmanice,CZ,710 - 850,1.6,"480,00",CZK
regensberg,Regensberg - Im Buck,CH,617 - 666,0.3,n/a,n/a
lohwaldhaeng,Lohwaldhäng / Lindberg,DE,635 - 688,0.3,"6,00",€
ski-makov,Ski Makov,SK,660 - 948,6.1,n/a,n/a
kvasejovice,Kvasejovice,CZ,496 - 555,0,n/a,n/a
waldrastlift-ehenbichl,Waldrastlift / Ehenbichl,AT,856 - 984,0.5,n/a,n/a
bodenmais-silberberg,Bodenmais - Silberberg,DE,750 - 955,2,n/a,n/a
kniebreche,An der Kniebreche / Steinbach-Hallenberg,DE,560 - 680,0.8,n/a,n/a
cicmany,Čičmany,SK,650 - 973,4.3,n/a,n/a
jakobsthal-am-englaender,Jakobsthal / Am Engländer,DE,420 - 500,3,n/a,n/a
oberer-schlossberg-sankt-georgen,Oberer Schloßberg / St. Georgen,DE,920 - 970,0.4,"19,00",€
ladek-zdroj,Stacja Narciarska Lądek Zdrój,PL,600 - 700,0,n/a,n/a
piz-bohl-strassberg,Piz Bohl / Strassberg,DE,700 - 800,0.5,"10,00",€
petrikovice,Petříkovice,CZ,435 - 575,2.7,n/a,n/a
oberhelfenschwil,Oberhelfenschwil,CH,798 - 866,0.4,n/a,n/a
mareszka,Mareszka,PL,455 - 530,0,n/a,n/a
sonnenwald,Sonnenwald,DE,810 - 965,3.2,n/a,n/a
stcorona,Familienskiland St. Corona am Wechsel,AT,840 - 920,1,"34,00",€
beskidek,Beskidek,PL,530 - 720,1.6,n/a,n/a
stozek,Stożek,PL,713 - 959,3.3,n/a,n/a
myto-jawornik,Myto Jawornik / Zwardoń,PL,667 - 800,0,n/a,n/a
schoenau-am-koenigssee-gruensteinlift,Grünsteinlift - Schönau am Königssee / Berchtesgadener Land,DE,630 - 750,0.4,n/a,n/a
klepacov,Klepáčov,CZ,740 - 850,1.3,n/a,n/a
taele-messstetten,Täle / Meßstetten,DE,860 - 930,0.6,n/a,n/a
privrat,Přívrat,CZ,450 - 510,1.4,n/a,n/a
rudno,Rudno,SI,490 - 571,0.6,"15,00",€
jastrzebia,Jastrzębia,PL,287 - 356,0,n/a,n/a
gansberg,Gansberg,CZ,590 - 630,0.4,n/a,n/a
herchenhainer-hoehe,Herchenhainer Höhe,DE,666 - 733,0.6,n/a,n/a
spa,Spa - Thier des Rexhons,BE,454 - 530,0.6,n/a,n/a
kaiserblick-sachrang,Kaiserblick Sachrang - Aschau,DE,738 - 818,3,"17,00",€
ski-centrum-nizna-uhliska,Ski Centrum Nižná Uhliská,SK,600 - 860,4.3,n/a,n/a
sankt-radegund,St. Radegund Lift,AT,762 - 800,0,n/a,n/a
oaza-ski,Oaza Ski,PL,250 - 343,0,n/a,n/a
smucisce,Ski Bor Črni vrh,SI,690 - 780,0.4,n/a,n/a
kuncice,Kunčice,CZ,650 - 850,5.3,n/a,n/a
kolej-baba,Kolej Baba,PL,750 - 920,0.9,n/a,n/a
kirchschlag,Kirchschlag,AT,750 - 900,3,"25,00",€
schiwiese-markt-piesting,Markt Piesting,AT,350 - 375,0,n/a,n/a
lierneux,Lierneux - Le Monty,BE,436 - 490,1.2,"12,00",€
mlade-buky,Mladé Buky,CZ,550 - 670,5.1,n/a,n/a
kohutka,Kohútka,CZ,715 - 913,6.6,n/a,n/a
le-frenz,Le Frenz,FR,770 - 990,0.5,"13,00",€
altenau,Torfhauslifte Altenau,DE,740 - 820,0.8,"28,00",€
neukirchen-lautertal,Neukirchen / Lautertal,DE,400 - 490,0.8,"25,00",€
riesenlehen-sankt-georgen-am-reith,Riesenlehen / St. Georgen am Reith,AT,500 - 620,0.4,"14,00",€
tanvaldsky-spicak,Tanvaldský Špičák / Jizerky,CZ,542 - 812,8.2,n/a,n/a
albstadt-lautlingen,Albstadt / Lautlingen,DE,680 - 710,1,n/a,n/a
st-andreasberg-matthias-schmidt-berg,St. Andreasberg - Matthias-Schmidt-Berg,DE,550 - 700,11,"30,00",€
na-stoku,Na Stoku,PL,620 - 716,0,n/a,n/a
zborov,Zborov,CZ,515 - 600,0,n/a,n/a
bedea-novaggio,Bedea Novaggio,CH,620 - 660,0.4,n/a,n/a
doebrastockenlift,Döbrastöckenlift /Schwarzenbach,DE,650 - 700,0.3,n/a,n/a
olesnice-v-orlickych-horach,Olešnice v Orlických horách,CZ,645 - 730,1.6,n/a,n/a
plavy,Plavy,CZ,420 - 526,0,n/a,n/a
skilift-mastrils,Skilift Mastrils,CH,720 - 940,3,n/a,n/a
aldrov-vitkovice,Aldrov - Vitkovice,CZ,600 - 733,3,n/a,n/a
